network,station,longitude,latitude,elevation
YW,1001,-97.740955,36.622297,322.2
YW,1002,-97.739831,36.622301,322.3
YW,1003,-97.738707,36.622319,322.4
YW,1004,-97.737583,36.622297,322.7
YW,1005,-97.736458,36.622309,322.7
YW,1006,-97.735334,36.622307,321.4
YW,1007,-97.73421,36.62231,320.6
YW,1008,-97.733086,36.622314,320.4
YW,1009,-97.731962,36.622319,320.4
YW,1010,-97.730838,36.622328,320.3
YW,1011,-97.729713,36.622343,320.4
YW,1012,-97.728589,36.62235,320.2
YW,1013,-97.727465,36.622362,320.4
YW,1014,-97.726341,36.622365,320.6
YW,1015,-97.725217,36.622375,320.5
YW,1016,-97.724093,36.6224,320.3
YW,1017,-97.722969,36.622399,320.4
YW,1018,-97.721844,36.622401,320.2
YW,1019,-97.72072,36.622424,320.6
YW,1020,-97.719596,36.622423,320.7
YW,1021,-97.718472,36.622422,320.8
YW,1022,-97.717348,36.622424,320.8
YW,1023,-97.716224,36.622421,320.7
YW,1024,-97.7151,36.622421,320.3
YW,1025,-97.713975,36.62244,320.6
YW,1026,-97.712851,36.62244,322.4
YW,1027,-97.711727,36.622433,323.7
YW,1028,-97.710603,36.622442,323.3
YW,1029,-97.709479,36.622442,321.4
YW,1030,-97.70845,36.622432,320.0
YW,1031,-97.70723,36.622433,319.9
YW,1032,-97.706106,36.622461,320.4
YW,1033,-97.704982,36.622458,320.1
YW,1034,-97.703858,36.62244,319.5
YW,1035,-97.702734,36.622449,319.9
YW,1036,-97.70161,36.62245,319.3
YW,1037,-97.700486,36.622444,318.9
YW,1038,-97.699361,36.622448,317.9
YW,1039,-97.698237,36.622452,318.7
YW,1040,-97.697113,36.622441,320.4
YW,1041,-97.695875,36.622307,322.0
YW,1042,-97.694865,36.622283,323.6
YW,1043,-97.693741,36.622283,323.6
YW,1044,-97.692617,36.622283,323.7
YW,1045,-97.691492,36.622283,323.4
YW,1046,-97.690368,36.622283,323.4
YW,1047,-97.689244,36.622283,323.5
YW,1048,-97.68812,36.622283,323.2
YW,1049,-97.686996,36.622283,323.2
YW,1050,-97.685872,36.622283,323.2
YW,1052,-97.683623,36.622283,323.1
YW,1053,-97.682499,36.622283,323.2
YW,1054,-97.681375,36.622283,323.1
YW,1055,-97.680251,36.622283,323.0
YW,1056,-97.679127,36.622283,322.8
YW,1058,-97.676878,36.622349,321.3
YW,1059,-97.675754,36.62235,320.6
YW,1060,-97.67463,36.62236,319.9
YW,1061,-97.673506,36.622346,319.9
YW,1062,-97.672382,36.622345,320.3
YW,1063,-97.671258,36.622334,320.1
YW,1064,-97.670134,36.622335,319.3
YW,1065,-97.669009,36.622346,318.0
YW,1066,-97.667885,36.622333,319.4
YW,1067,-97.666761,36.622329,319.2
YW,1068,-97.665637,36.622323,319.2
YW,1069,-97.664513,36.622316,320.4
YW,1070,-97.663389,36.622317,320.6
YW,1071,-97.662264,36.622312,320.1
YW,1072,-97.66114,36.622311,318.7
YW,1073,-97.659963,36.622227,316.8
YW,1074,-97.658892,36.622283,314.6
YW,1075,-97.657768,36.622283,312.6
YW,1076,-97.656644,36.622283,312.3
YW,1077,-97.65552,36.622411,311.8
YW,1078,-97.654395,36.622409,311.0
YW,1079,-97.653271,36.622417,311.5
YW,1080,-97.652147,36.622283,312.0
YW,1081,-97.651023,36.622283,312.0
YW,1082,-97.649899,36.622283,311.4
YW,1083,-97.648775,36.622423,311.1
YW,1084,-97.64765,36.622283,311.4
YW,1085,-97.646526,36.622283,313.0
YW,1086,-97.645402,36.622387,314.3
YW,1087,-97.644278,36.622283,314.5
YW,1088,-97.643154,36.622283,313.7
YW,1089,-97.641759,36.622222,316.3
YW,1090,-97.640973,36.622283,316.0
YW,1091,-97.639643,36.622222,317.4
YW,1092,-97.638657,36.622283,317.7
YW,1093,-97.637472,36.622267,318.1
YW,1094,-97.636409,36.622283,320.0
YW,1095,-97.6353,36.622267,320.0
YW,1096,-97.634161,36.622283,321.6
YW,1097,-97.633128,36.622267,322.9
YW,1098,-97.631912,36.622283,324.2
YW,1099,-97.630788,36.622283,325.6
YW,1100,-97.629664,36.622283,326.3
YW,1101,-97.62854,36.622283,326.4
YW,1102,-97.627416,36.622283,326.2
YW,1103,-97.626292,36.622283,326.3
YW,1104,-97.625167,36.622283,326.3
YW,1105,-97.624043,36.622283,326.5
YW,1106,-97.622919,36.622283,326.7
YW,1107,-97.621795,36.622283,326.8
YW,1108,-97.620671,36.622283,326.8
YW,1109,-97.619547,36.622283,326.5
YW,1110,-97.618423,36.622283,326.2
YW,1111,-97.617298,36.622283,326.3
YW,1112,-97.616174,36.622283,325.7
YW,1113,-97.61505,36.622283,323.5
YW,1114,-97.613926,36.622283,320.8
YW,1115,-97.612802,36.622283,319.1
YW,1116,-97.611678,36.622283,317.9
YW,1117,-97.610554,36.622283,317.8
YW,1118,-97.609429,36.622283,317.1
YW,1119,-97.608305,36.622283,317.8
YW,1120,-97.607181,36.622283,318.5
YW,1121,-97.606057,36.622283,317.4
YW,1122,-97.604933,36.622456,316.4
YW,1123,-97.603809,36.622456,313.6
YW,1124,-97.602573,36.622436,310.9
YW,1125,-97.60156,36.622467,311.7
YW,1126,-97.600436,36.622452,314.1
YW,1127,-97.599312,36.62245,317.3
YW,1128,-97.598188,36.622466,318.5
YW,1129,-97.597064,36.622283,317.7
YW,2001,-97.695841,36.636744,320.3
YW,2002,-97.695914,36.635904,320.3
YW,2004,-97.695925,36.634091,319.7
YW,2005,-97.695918,36.633184,319.2
YW,2006,-97.695914,36.632278,320.3
YW,2007,-97.695903,36.631372,321.0
YW,2008,-97.695925,36.630465,321.5
YW,2010,-97.695894,36.628652,321.7
YW,2011,-97.695891,36.627746,321.9
YW,2012,-97.695894,36.62684,322.0
YW,2013,-97.695891,36.625933,322.0
YW,2014,-97.695886,36.625027,322.1
YW,2015,-97.695886,36.62412,322.1
YW,2016,-97.69588,36.623214,322.4
YW,2017,-97.695875,36.622307,322.0
YW,2019,-97.695889,36.620495,321.4
YW,2020,-97.695888,36.619588,320.2
YW,2021,-97.695894,36.618682,320.5
YW,2022,-97.695891,36.617775,320.3
YW,2024,-97.695892,36.615963,320.2
YW,2025,-97.695886,36.615056,321.1
YW,2026,-97.695873,36.61415,323.3
YW,2027,-97.695879,36.613243,323.5
YW,2028,-97.695884,36.612337,323.6
YW,2029,-97.69589,36.611431,323.9
YW,2030,-97.695879,36.610524,324.1
